Date,Open,High,Low,Close,Adj Close,Volume,Percentage Change
2023-09-22,147.410004,148.100006,146.820007,146.910004,145.262558,2562000,-0.34
2023-09-25,146.570007,147.429993,146.250000,146.479996,144.837372,2694200,-0.06
2023-09-26,145.509995,146.169998,143.020004,143.240005,141.633713,4824700,-1.56
2023-09-27,143.669998,143.820007,141.759995,143.169998,141.564499,4439800,-0.35
2023-09-28,142.139999,142.279999,140.210007,141.580002,139.992325,5783200,-0.39
2023-09-29,142.000000,142.130005,139.610001,140.300003,138.726685,5703600,-1.20
2023-10-02,140.039993,141.449997,139.860001,140.800003,139.221085,3275300,0.54
2023-10-03,140.869995,141.639999,140.000000,140.389999,138.815674,3284400,-0.34
2023-10-04,140.369995,141.199997,139.990005,141.070007,139.488052,2637600,0.50
2023-10-05,140.899994,141.699997,140.190002,141.520004,139.932999,3223900,0.44
2023-10-06,141.399994,142.940002,140.110001,142.029999,140.437286,3511100,0.45
2023-10-09,142.300003,142.399994,140.679993,142.199997,140.605377,2354400,-0.07
2023-10-10,142.600006,143.419998,141.720001,142.110001,140.516388,3015800,-0.34
2023-10-11,142.509995,143.339996,142.139999,143.229996,141.623825,2511500,0.51
2023-10-12,142.509995,142.929993,140.949997,141.240005,139.656143,3921100,-0.89
2023-10-13,139.770004,140.119995,138.270004,138.460007,136.907318,4582800,-0.94
2023-10-16,139.279999,139.779999,138.520004,139.210007,137.648911,3361500,-0.05
2023-10-17,137.119995,140.619995,136.309998,140.320007,138.746460,4172800,2.33
2023-10-18,140.000000,140.429993,139.580002,139.970001,138.400391,3330000,-0.02
2023-10-19,138.639999,139.410004,137.929993,138.009995,136.462357,5314200,-0.45
2023-10-20,138.149994,139.270004,137.119995,137.160004,135.621902,4865300,-0.72
2023-10-23,136.630005,137.679993,135.869995,136.380005,134.850647,3457500,-0.18
2023-10-24,136.740005,137.979996,136.050003,137.789993,136.244827,3698000,0.77
2023-10-25,137.500000,138.490005,136.330002,137.080002,135.542786,6472500,-0.31
2023-10-26,142.199997,144.410004,141.580002,143.759995,142.147873,11130200,1.10
2023-10-27,143.619995,144.699997,141.710007,142.520004,140.921783,5469200,-0.77
2023-10-30,143.190002,144.500000,142.580002,142.630005,141.030563,4204100,-0.39
2023-10-31,143.000000,144.759995,142.589996,144.639999,143.018005,6591800,1.15
2023-11-01,145.000000,146.509995,144.449997,145.399994,143.769485,4750100,0.28
2023-11-02,145.770004,147.100006,144.839996,147.009995,145.361435,3902700,0.85
2023-11-03,147.449997,148.449997,147.279999,147.899994,146.241455,3510100,0.31
2023-11-06,147.889999,149.229996,147.850006,148.970001,147.299454,4597200,0.73
2023-11-07,149.029999,149.279999,148.029999,148.830002,147.161026,3549900,-0.13
2023-11-08,149.250000,149.679993,147.589996,148.029999,146.369995,3618600,-0.82
2023-11-09,146.550003,146.990005,145.279999,146.619995,146.619995,3412700,0.05
2023-11-10,147.440002,149.169998,146.850006,149.020004,149.020004,3179000,1.07
2023-11-13,148.460007,148.490005,147.350006,148.100006,148.100006,2647200,-0.24
2023-11-14,149.449997,150.809998,149.050003,150.410004,150.410004,4321900,0.64
2023-11-15,150.399994,153.220001,150.399994,152.580002,152.580002,4632500,1.45
2023-11-16,153.000000,153.350006,152.130005,153.059998,153.059998,3519200,0.04
2023-11-17,153.289993,153.500000,152.460007,152.889999,152.889999,4426500,-0.26
2023-11-20,152.509995,154.679993,152.350006,154.350006,154.350006,3658500,1.21
2023-11-21,154.600006,154.660004,153.509995,153.910004,153.910004,2859500,-0.45
2023-11-22,154.500000,155.710007,154.160004,155.130005,155.130005,3044700,0.41
2023-11-24,155.130005,155.399994,153.919998,155.179993,155.179993,1799200,0.03
2023-11-27,154.990005,156.139999,154.750000,155.570007,155.570007,4053100,0.37
2023-11-28,155.440002,155.750000,154.860001,155.649994,155.649994,2666200,0.14
2023-11-29,156.149994,157.509995,156.020004,156.410004,156.410004,3568900,0.17
2023-11-30,156.949997,158.600006,156.889999,158.559998,158.559998,6740600,1.03
2023-12-01,158.410004,160.589996,158.000000,160.550003,160.550003,4871000,1.35
2023-12-04,160.289993,162.789993,160.289993,161.100006,161.100006,5779000,0.51
2023-12-05,160.759995,162.470001,160.720001,161.389999,161.389999,4556700,0.39
2023-12-06,161.589996,162.350006,160.009995,160.279999,160.279999,3555900,-0.81
2023-12-07,161.000000,161.470001,159.970001,160.220001,160.220001,3665500,-0.48
2023-12-08,160.000000,162.039993,160.000000,161.960007,161.960007,4560400,1.23
2023-12-11,162.679993,163.649994,161.949997,163.509995,163.509995,6077200,0.51
2023-12-12,163.270004,166.339996,162.919998,164.710007,164.710007,5292300,0.88
2023-12-13,164.369995,164.970001,162.740005,163.619995,163.619995,4989100,-0.46
2023-12-14,162.929993,163.500000,160.149994,162.910004,162.910004,6129800,-0.01
2023-12-15,162.300003,164.089996,162.039993,162.229996,162.229996,11015600,-0.04
2023-12-18,162.229996,163.330002,161.580002,162.740005,162.740005,3677300,0.31
2023-12-19,161.800003,162.279999,161.320007,161.559998,161.559998,3766600,-0.15
2023-12-20,161.289993,161.800003,160.009995,160.050003,160.050003,4865800,-0.77
2023-12-21,160.589996,161.080002,159.529999,160.779999,160.779999,2982900,0.12
2023-12-22,161.100006,162.410004,161.000000,162.139999,162.139999,2439800,0.65
2023-12-26,162.229996,163.309998,162.050003,163.210007,163.210007,1772400,0.60
2023-12-27,163.139999,163.639999,162.679993,163.460007,163.460007,3234600,0.20
2023-12-28,163.960007,163.960007,163.399994,163.750000,163.750000,2071300,-0.13
2023-12-29,163.750000,164.179993,162.830002,163.550003,163.550003,2525600,-0.12
2024-01-02,162.830002,163.289993,160.460007,161.500000,161.500000,3825000,-0.82
2024-01-03,161.000000,161.729996,160.080002,160.100006,160.100006,4086100,-0.56
2024-01-04,160.220001,161.809998,160.169998,160.860001,160.860001,3212000,0.40
2024-01-05,159.910004,160.550003,158.669998,159.160004,159.160004,4199400,-0.47
2024-01-08,158.690002,161.220001,157.889999,161.139999,161.139999,3321700,1.54
2024-01-09,160.000000,160.479996,159.509995,160.080002,160.080002,2617200,0.05
2024-01-10,160.279999,161.339996,159.744995,161.210007,161.210007,2000261,0.58
